Org Number,Legal Name,SNI Code,Region,Classification,Legal Form,Founded Year,Personnel Costs,Board Total,Board Women,Board Men,Total Funding,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,turnover_per_employee_2024,sni_2digit,division_interval,section_code,section_desc,time_span,log_turnover_2024,log_employees_2024,log_turnover_per_employee_2024,firm_age_2024,board_women_share,log_personnel_costs,log_total_funding
ORG_00218,Company_00218,72190,Uppsala län,Startup,aktiebolag,2016,14634000.0,5.0,1.0,4.0,2050000.0,2016.0,2024.0,35000.0,15677000.0,114.48620456885052,2017.0,2024.0,4.0,9.0,12.28242619935509,32971000.0,15677000.0,7.0,9.0,102.20377836949544,1741888.888888889,72,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",8.0,16.56770529183838,2.302585092994046,14.370481224803715,8.0,0.2,16.498858214760126,14.53335083891935
ORG_00221,Company_00221,70220,Västerbottens län,Startup,aktiebolag,2016,675000.0,1.0,1.0,0.0,1315220.44,2016.0,2024.0,768000.0,1016000.0,3.5598853569271505,2016.0,2024.0,2.0,1.0,-8.299595679532878,1577000.0,1016000.0,1.0,1.0,11.859481036460028,1016000.0,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",8.0,13.831384891372048,0.6931471805599453,13.831384891372048,8.0,1.0,13.42246945133505,14.089515604854345
ORG_00251,Company_00251,46410,Kronobergs län,Startup,aktiebolag,2016,66000.0,2.0,1.0,1.0,91730.0,2016.0,2024.0,247000.0,304000.0,2.6294682679323556,2016.0,2024.0,1.0,1.0,0.0,175000.0,304000.0,1.0,1.0,2.6294682679323556,304000.0,46,46-47,G,WHOLESALE AND RETAIL TRADE,8.0,12.624786269856633,0.6931471805599453,12.624786269856633,8.0,0.5,11.097425172408931,11.426615660003202
ORG_00261,Company_00261,70220,Stockholms län,Startup,aktiebolag,2016,1151000.0,1.0,1.0,0.0,14599.0,2016.0,2024.0,111000.0,2032000.0,43.821922776518086,2017.0,2024.0,1.0,2.0,10.408951367381224,2234000.0,2032000.0,2.0,2.0,33.41297140913686,1016000.0,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",8.0,14.524531579806373,1.0986122886681098,13.831384891372048,8.0,1.0,13.956142556513372,9.588776807696428
ORG_00269,Company_00269,71124,Hallands län,Startup,aktiebolag,2016,1956000.0,4.0,0.0,4.0,1984729.5,2016.0,2024.0,674000.0,6203000.0,31.97532360784954,2016.0,2024.0,1.0,5.0,22.284454499385188,6005000.0,6203000.0,4.0,5.0,9.690869108464351,1240600.0,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",8.0,15.640543765167559,1.791759469228055,14.031106497582412,8.0,0.0,14.486412640824213,14.500993694624118
ORG_00275,Company_00275,71122,Stockholms län,Startup,aktiebolag,2016,850000.0,3.0,0.0,3.0,1881000.0,2016.0,2024.0,2098000.0,5388000.0,12.513015080775647,2016.0,2024.0,7.0,1.0,-17.283933200393964,538000.0,5388000.0,2.0,1.0,29.796948281169612,5388000.0,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",8.0,15.499685002109999,0.6931471805599453,15.499685002109999,8.0,0.0,13.652992804936396,14.447314639915136
ORG_00282,Company_00282,27900,Västra Götalands län,Scaleup,aktiebolag,2016,37937000.0,1.0,0.0,1.0,9031212.15,2016.0,2024.0,26995000.0,207300000.0,29.02221585436562,2016.0,2024.0,5.0,19.0,18.16067128145198,159359000.0,207300000.0,18.0,19.0,10.86154457291364,10910526.315789474,27,10-33,C,MANUFACTURING,8.0,19.149677582229934,2.995732273553991,16.20523868989417,8.0,0.0,17.451437473484965,16.016197262991838
ORG_00294,Company_00294,53202,Stockholms län,Startup,aktiebolag,2016,18590000.0,5.0,0.0,5.0,2466082.1,2016.0,2024.0,1203000.0,25580000.0,46.539384848504994,2016.0,2024.0,1.0,16.0,41.42135623730952,23274000.0,25580000.0,22.0,16.0,5.118028611195477,1598750.0,53,49-53,H,TRANSPORTATION AND STORAGE,8.0,17.05732139320801,2.833213344056216,14.284733257363657,8.0,0.0,16.738134413489988,14.718141660435489
ORG_00311,Company_00311,85599,Västra Götalands län,Startup,aktiebolag,2016,35077000.0,4.0,1.0,3.0,749800.0,2016.0,2024.0,13000.0,57475000.0,185.5564363405394,2016.0,2024.0,9.0,31.0,16.71855386767158,62118000.0,57475000.0,40.0,31.0,168.83788247286782,1854032.2580645161,85,85,Q,EDUCATION,8.0,17.866860646012388,3.4657359027997265,14.432873963493169,8.0,0.25,17.373056231505885,13.527563116972043
ORG_00324,Company_00324,62020,Gävleborgs län,Startup,aktiebolag,2016,1326000.0,1.0,0.0,1.0,70000.0,2016.0,2024.0,56000.0,476000.0,30.67044368081653,2016.0,2024.0,2.0,2.0,0.0,501000.0,476000.0,2.0,2.0,30.67044368081653,238000.0,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",8.0,13.073175234051686,1.0986122886681098,12.380030154325457,8.0,0.0,14.097678203875473,11.156264806643742
