Org Number,Legal Name,SNI Code,Region,Classification,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,cagr_per_employee,turnover_per_employee_2024,scalability_ratio,sni_2digit,division_interval,section_code,section_desc,sni_category
ORG_00218,Company_00218,72190,Uppsala län,Startup,2016.0,2024.0,35000.0,15677000.0,114.48620456885052,2017.0,2024.0,4.0,9.0,12.28242619935509,32971000.0,15677000.0,7.0,9.0,102.20377836949544,12.720689396538948,1741888.888888889,9.321139220430393,72,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00221,Company_00221,70220,Västerbottens län,Startup,2016.0,2024.0,768000.0,1016000.0,3.5598853569271505,2016.0,2024.0,2.0,1.0,-8.299595679532878,1577000.0,1016000.0,1.0,1.0,11.859481036460028,3.5598853569271505,1016000.0,-0.4289227444785009,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00251,Company_00251,46410,Kronobergs län,Startup,2016.0,2024.0,247000.0,304000.0,2.6294682679323556,2016.0,2024.0,1.0,1.0,0.0,175000.0,304000.0,1.0,1.0,2.6294682679323556,2.6294682679323556,304000.0,,46,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_00261,Company_00261,70220,Stockholms län,Startup,2016.0,2024.0,111000.0,2032000.0,43.821922776518086,2017.0,2024.0,1.0,2.0,10.408951367381224,2234000.0,2032000.0,2.0,2.0,33.41297140913686,21.910961388259043,1016000.0,4.210022818806117,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00269,Company_00269,71124,Hallands län,Startup,2016.0,2024.0,674000.0,6203000.0,31.97532360784954,2016.0,2024.0,1.0,5.0,22.284454499385188,6005000.0,6203000.0,4.0,5.0,9.690869108464351,6.3950647215699075,1240600.0,1.4348712735477422,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00275,Company_00275,71122,Stockholms län,Startup,2016.0,2024.0,2098000.0,5388000.0,12.513015080775647,2016.0,2024.0,7.0,1.0,-17.283933200393964,538000.0,5388000.0,2.0,1.0,29.796948281169612,12.513015080775647,5388000.0,-0.7239680306384446,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00282,Company_00282,27900,Västra Götalands län,Scaleup,2016.0,2024.0,26995000.0,207300000.0,29.02221585436562,2016.0,2024.0,5.0,19.0,18.16067128145198,159359000.0,207300000.0,18.0,19.0,10.86154457291364,1.5274850449666115,10910526.315789474,1.5980805667688536,27,10-33,C,MANUFACTURING,10-33 C - MANUFACTURING
ORG_00294,Company_00294,53202,Stockholms län,Startup,2016.0,2024.0,1203000.0,25580000.0,46.539384848504994,2016.0,2024.0,1.0,16.0,41.42135623730952,23274000.0,25580000.0,22.0,16.0,5.118028611195477,2.908711553031562,1598750.0,1.1235601408576166,53,49-53,H,TRANSPORTATION AND STORAGE,49-53 H - TRANSPORTATION AND STORAGE
ORG_00311,Company_00311,85599,Västra Götalands län,Startup,2016.0,2024.0,13000.0,57475000.0,185.5564363405394,2016.0,2024.0,9.0,31.0,16.71855386767158,62118000.0,57475000.0,40.0,31.0,168.83788247286782,5.985691494856109,1854032.2580645161,11.098832937898242,85,85,Q,EDUCATION,85 Q - EDUCATION
ORG_00324,Company_00324,62020,Gävleborgs län,Startup,2016.0,2024.0,56000.0,476000.0,30.67044368081653,2016.0,2024.0,2.0,2.0,0.0,501000.0,476000.0,2.0,2.0,30.67044368081653,15.335221840408265,238000.0,,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00336,Company_00336,62010,Skåne län,Startup,2016.0,2024.0,2483000.0,134167000.0,64.65829864032015,2016.0,2024.0,4.0,139.0,55.81861906488339,128492000.0,134167000.0,147.0,139.0,8.839679575436762,0.4651676161174112,965230.2158273382,1.1583643544667692,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_00344,Company_00344,71122,Jämtlands län,Startup,2016.0,2024.0,5000.0,2580000.0,118.31381186694672,2016.0,2024.0,2.0,5.0,12.135339197013861,6473000.0,2580000.0,6.0,5.0,106.17847266993286,23.662762373389345,516000.0,9.749526564206805,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_00345,Company_00345,73200,Västra Götalands län,Startup,2016.0,2024.0,196000.0,2969000.0,40.45728383871599,2017.0,2024.0,3.0,3.0,0.0,3798000.0,2969000.0,2.0,3.0,40.45728383871599,13.485761279571996,989666.6666666666,,73,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
